movie_id,movie_embedding
82,"0.0,0.033411764,0.0,0.036782857,0.0,0.0,0.0,0.7529572"
83,"0.0,0.03390078,0.0,0.0359503,0.0,0.0,0.0,0.8443261"
84,"0.0,0.033293486,0.0,0.03660948,0.0,0.0,0.0,0.7581016"
85,"0.0,0.034740932,0.0,0.035518393,0.0,0.0,0.0,0.9090309"
86,"0.0,0.036106486,0.0,0.034623127,0.0,0.0,0.0,1.1258166"
87,"0.0,0.027657907,0.0,0.041709162,0.0,0.0,0.0,0.03810501"
88,"0.0,0.031521857,0.0,0.037937697,0.0,0.0,0.0,0.51787937"
89,"0.0,0.0337943,0.0,0.03546033,0.0,0.0,0.0,0.78630364"
90,"0.0,0.035166588,0.0,0.035079375,0.0,0.0,0.0,1.0017928"
92,"0.0,0.028852435,0.0,0.04061511,0.0,0.0,0.0,0.21862298"
93,"0.0,0.03171262,0.0,0.037416514,0.0,0.0,0.0,0.5500169"
94,"0.0,0.035470743,0.0,0.034940492,0.0,0.0,0.0,1.031214"
95,"0.0,0.032359987,0.0,0.03703831,0.0,0.0,0.0,0.6018603"
96,"0.0,0.033215057,0.0,0.036236145,0.0,0.0,0.0,0.7162434"
97,"0.0,0.035944156,0.0,0.034698993,0.0,0.0,0.0,1.115159"
98,"0.0,0.033117518,0.0,0.03618572,0.0,0.0,0.0,0.6900731"
99,"0.0,0.03399224,0.0,0.036598753,0.0,0.0,0.0,0.8819276"
100,"0.0,0.031267323,0.0,0.03846259,0.0,0.0,0.0,0.5125572"
101,"0.0,0.03473549,0.0,0.035269152,0.0,0.0,0.0,0.93372345"
102,"0.0,0.029345132,0.0,0.039913498,0.0,0.0,0.0,0.2570459"
103,"0.0,0.032899413,0.0,0.03689983,0.0,0.0,0.0,0.66625476"
104,"0.0,0.034637492,0.0,0.035224542,0.0,0.0,0.0,0.8979337"
105,"0.0,0.03488879,0.0,0.035369735,0.0,0.0,0.0,0.9462733"
106,"0.0,0.035419144,0.0,0.034886383,0.0,0.0,0.0,1.0268104"
107,"0.0,0.033561956,0.0,0.03611332,0.0,0.0,0.0,0.75166285"
108,"0.0,0.035526432,0.0,0.03526457,0.0,0.0,0.0,1.0532427"
109,"0.0,0.033430286,0.0,0.036162306,0.0,0.0,0.0,0.7390637"
110,"0.0,0.040257707,0.0,0.033264905,0.0,0.0,0.0,1.6815232"
111,"0.0,0.039222714,0.0,0.03371866,0.0,0.0,0.0,1.5510215"
112,"0.0,0.035847604,0.0,0.034896914,0.0,0.0,0.0,1.058171"
113,"0.0,0.032174107,0.0,0.03752691,0.0,0.0,0.0,0.6276052"
114,"0.0,0.03509352,0.0,0.03512132,0.0,0.0,0.0,0.9807821"
115,"0.0,0.033500925,0.0,0.03629006,0.0,0.0,0.0,0.7276964"
116,"0.0,0.037124895,0.0,0.03427984,0.0,0.0,0.0,1.2729917"
117,"0.0,0.033715036,0.0,0.036164768,0.0,0.0,0.0,0.80056614"
118,"0.0,0.035417557,0.0,0.03497785,0.0,0.0,0.0,1.0069559"
119,"0.0,0.031581264,0.0,0.03762615,0.0,0.0,0.0,0.50733167"
120,"0.0,0.034617823,0.0,0.03561186,0.0,0.0,0.0,0.9203023"
121,"0.0,0.034523338,0.0,0.035759307,0.0,0.0,0.0,0.88545585"
122,"0.0,0.032169178,0.0,0.037263878,0.0,0.0,0.0,0.59191203"
123,"0.0,0.034970917,0.0,0.035033423,0.0,0.0,0.0,0.98090357"
124,"0.0,0.0333165,0.0,0.036738746,0.0,0.0,0.0,0.7503971"
125,"0.0,0.036844447,0.0,0.03459654,0.0,0.0,0.0,1.1936893"
126,"0.0,0.027726624,0.0,0.041747488,0.0,0.0,0.0,0.05126384"
127,"0.0,0.03468213,0.0,0.035460062,0.0,0.0,0.0,0.9177265"
128,"0.0,0.035918735,0.0,0.034717813,0.0,0.0,0.0,1.1340983"
129,"0.0,0.033976518,0.0,0.03545693,0.0,0.0,0.0,0.82888556"
130,"0.0,0.034307327,0.0,0.03584384,0.0,0.0,0.0,0.8583578"
131,"0.0,0.033548716,0.0,0.036613096,0.0,0.0,0.0,0.77259904"
132,"0.0,0.028242156,0.0,0.041260317,0.0,0.0,0.0,0.11137766"
133,"0.0,0.0342226,0.0,0.035974152,0.0,0.0,0.0,0.85403323"
134,"0.0,0.035620376,0.0,0.0353036,0.0,0.0,0.0,1.0602572"
135,"0.0,0.030886516,0.0,0.03843998,0.0,0.0,0.0,0.4243902"
136,"0.0,0.036002103,0.0,0.034869734,0.0,0.0,0.0,1.126503"
137,"0.0,0.035393674,0.0,0.035612784,0.0,0.0,0.0,1.0402675"
138,"0.0,0.03492984,0.0,0.035189386,0.0,0.0,0.0,0.95906967"
139,"0.0,0.034663826,0.0,0.03555897,0.0,0.0,0.0,0.9240371"
140,"0.0,0.032973185,0.0,0.037060637,0.0,0.0,0.0,0.7074512"
141,"0.0,0.03576261,0.0,0.03490984,0.0,0.0,0.0,1.0439458"
142,"0.0,0.033981033,0.0,0.036043454,0.0,0.0,0.0,0.8283893"
143,"0.0,0.034581438,0.0,0.035715938,0.0,0.0,0.0,0.88975525"
144,"0.0,0.035371773,0.0,0.034945067,0.0,0.0,0.0,1.0021075"
145,"0.0,0.034202833,0.0,0.035494328,0.0,0.0,0.0,0.8368565"
146,"0.0,0.032727443,0.0,0.036953144,0.0,0.0,0.0,0.669929"
147,"0.0,0.03654166,0.0,0.034524284,0.0,0.0,0.0,1.1827531"
148,"0.0,0.033186723,0.0,0.0368892,0.0,0.0,0.0,0.7395565"
149,"0.0,0.033362996,0.0,0.036663342,0.0,0.0,0.0,0.74191475"
150,"0.0,0.03848108,0.0,0.03395394,0.0,0.0,0.0,1.4387606"
151,"0.0,0.036518972,0.0,0.034706615,0.0,0.0,0.0,1.179617"
152,"0.0,0.03292966,0.0,0.035970893,0.0,0.0,0.0,0.6744243"
153,"0.0,0.030320026,0.0,0.03893298,0.0,0.0,0.0,0.38756636"
154,"0.0,0.03472467,0.0,0.035307582,0.0,0.0,0.0,0.9277823"
155,"0.0,0.03456466,0.0,0.035539206,0.0,0.0,0.0,0.9200671"
156,"0.0,0.03526188,0.0,0.035096638,0.0,0.0,0.0,0.98798573"
157,"0.0,0.031281568,0.0,0.038068127,0.0,0.0,0.0,0.49524453"
158,"0.0,0.034490123,0.0,0.03521164,0.0,0.0,0.0,0.88487893"
159,"0.0,0.034757394,0.0,0.035456453,0.0,0.0,0.0,0.9331658"
160,"0.0,0.027455105,0.0,0.04216691,0.0,0.0,0.0,0.0016290247"
161,"0.0,0.03658549,0.0,0.034499496,0.0,0.0,0.0,1.1817788"
162,"0.0,0.03886122,0.0,0.033622876,0.0,0.0,0.0,1.5170233"
163,"0.0,0.035083815,0.0,0.03511453,0.0,0.0,0.0,0.96690375"
164,"0.0,0.035262603,0.0,0.035071515,0.0,0.0,0.0,0.99852306"
165,"0.0,0.036080256,0.0,0.03475535,0.0,0.0,0.0,1.0840285"
166,"0.0,0.033615906,0.0,0.036154166,0.0,0.0,0.0,0.8138968"
167,"0.0,0.03464541,0.0,0.035492513,0.0,0.0,0.0,0.90613544"
168,"0.0,0.031435568,0.0,0.03866317,0.0,0.0,0.0,0.5160289"
169,"0.0,0.030507179,0.0,0.039330307,0.0,0.0,0.0,0.420972"
170,"0.0,0.034179732,0.0,0.03541872,0.0,0.0,0.0,0.8387394"
171,"0.0,0.03441512,0.0,0.03530033,0.0,0.0,0.0,0.88691676"
172,"0.0,0.031174228,0.0,0.037740216,0.0,0.0,0.0,0.4652048"
173,"0.0,0.026821801,0.0,0.04270227,0.0,0.0,0.0,0.0"
174,"0.0,0.030478496,0.0,0.03867581,0.0,0.0,0.0,0.40159073"
175,"0.0,0.034540825,0.0,0.03534589,0.0,0.0,0.0,0.9072457"
176,"0.0,0.035465114,0.0,0.03492436,0.0,0.0,0.0,1.0211258"
177,"0.0,0.03293753,0.0,0.036339466,0.0,0.0,0.0,0.65249556"
178,"0.0,0.034401212,0.0,0.035405897,0.0,0.0,0.0,0.8718222"
179,"0.0,0.034140207,0.0,0.03597511,0.0,0.0,0.0,0.8425602"
180,"0.0,0.03571915,0.0,0.034914587,0.0,0.0,0.0,1.0536977"
181,"0.0,0.028410058,0.0,0.04078851,0.0,0.0,0.0,0.12495035"
182,"0.0,0.035044663,0.0,0.035125624,0.0,0.0,0.0,0.9758351"
183,"0.0,0.033732023,0.0,0.035987638,0.0,0.0,0.0,0.7899066"
184,"0.0,0.03331956,0.0,0.036595624,0.0,0.0,0.0,0.7565346"
185,"0.0,0.032122888,0.0,0.037444435,0.0,0.0,0.0,0.58977073"
186,"0.0,0.03203723,0.0,0.03758807,0.0,0.0,0.0,0.56407464"
187,"0.0,0.033008013,0.0,0.036429685,0.0,0.0,0.0,0.68607277"
188,"0.0,0.033260904,0.0,0.03572878,0.0,0.0,0.0,0.7144289"
189,"0.0,0.03235664,0.0,0.03701144,0.0,0.0,0.0,0.6071243"
190,"0.0,0.034571413,0.0,0.035281852,0.0,0.0,0.0,0.9004811"
191,"0.0,0.031883556,0.0,0.03788996,0.0,0.0,0.0,0.586176"
192,"0.0,0.035313454,0.0,0.0355006,0.0,0.0,0.0,1.0307796"
193,"0.0,0.030017933,0.0,0.03990329,0.0,0.0,0.0,0.34151024"
194,"0.0,0.03550282,0.0,0.035019606,0.0,0.0,0.0,1.0326811"
195,"0.0,0.032686785,0.0,0.037278447,0.0,0.0,0.0,0.67304987"
196,"0.0,0.032324374,0.0,0.036863893,0.0,0.0,0.0,0.59058785"
197,"0.0,0.032949522,0.0,0.037062146,0.0,0.0,0.0,0.7055149"
198,"0.0,0.03415418,0.0,0.03543617,0.0,0.0,0.0,0.8405019"
199,"0.0,0.03574466,0.0,0.034916285,0.0,0.0,0.0,1.0723557"
200,"0.0,0.03315826,0.0,0.036673084,0.0,0.0,0.0,0.7028382"
201,"0.0,0.03451198,0.0,0.03579263,0.0,0.0,0.0,0.89898825"
202,"0.0,0.033357453,0.0,0.036658462,0.0,0.0,0.0,0.73750556"
203,"0.0,0.033004493,0.0,0.036417976,0.0,0.0,0.0,0.69665223"
204,"0.0,0.032978307,0.0,0.03635666,0.0,0.0,0.0,0.6711538"
205,"0.0,0.032099415,0.0,0.037887756,0.0,0.0,0.0,0.60524064"
206,"0.0,0.036090117,0.0,0.03449265,0.0,0.0,0.0,1.1524868"
207,"0.0,0.034894478,0.0,0.035252195,0.0,0.0,0.0,0.95633674"
208,"0.0,0.030762501,0.0,0.038479593,0.0,0.0,0.0,0.38961872"
209,"0.0,0.03289858,0.0,0.037080847,0.0,0.0,0.0,0.7166974"
210,"0.0,0.032480996,0.0,0.037457787,0.0,0.0,0.0,0.6629145"
211,"0.0,0.03319505,0.0,0.036943544,0.0,0.0,0.0,0.7273452"
212,"0.0,0.031839237,0.0,0.03759452,0.0,0.0,0.0,0.53266823"
213,"0.0,0.036988657,0.0,0.034510687,0.0,0.0,0.0,1.233974"
214,"0.0,0.035884973,0.0,0.034690987,0.0,0.0,0.0,1.1108527"
215,"0.0,0.034900527,0.0,0.035112042,0.0,0.0,0.0,0.9583489"
216,"0.0,0.032203954,0.0,0.03730265,0.0,0.0,0.0,0.59009796"
217,"0.0,0.033257354,0.0,0.03680896,0.0,0.0,0.0,0.7522685"
218,"0.0,0.033264697,0.0,0.036790077,0.0,0.0,0.0,0.7343418"
219,"0.0,0.033447076,0.0,0.036632724,0.0,0.0,0.0,0.7572619"
220,"0.0,0.031492133,0.0,0.03759514,0.0,0.0,0.0,0.4828885"
222,"0.0,0.035678394,0.0,0.034954935,0.0,0.0,0.0,1.0622323"
223,"0.0,0.037480388,0.0,0.03418359,0.0,0.0,0.0,1.28246"
224,"0.0,0.03505207,0.0,0.0349121,0.0,0.0,0.0,0.98750436"
225,"0.0,0.03322835,0.0,0.036673263,0.0,0.0,0.0,0.7479586"
226,"0.0,0.033763874,0.0,0.03597744,0.0,0.0,0.0,0.786557"
227,"0.0,0.033653587,0.0,0.035678197,0.0,0.0,0.0,0.77335423"
228,"0.0,0.03336987,0.0,0.036179196,0.0,0.0,0.0,0.7424668"
229,"0.0,0.036737546,0.0,0.034527052,0.0,0.0,0.0,1.1967716"
230,"0.0,0.035170726,0.0,0.034997042,0.0,0.0,0.0,0.9857068"
231,"0.0,0.03289699,0.0,0.036607195,0.0,0.0,0.0,0.6532987"
232,"0.0,0.036903996,0.0,0.034476757,0.0,0.0,0.0,1.2247765"
233,"0.0,0.034529142,0.0,0.035545643,0.0,0.0,0.0,0.8912424"
234,"0.0,0.029285192,0.0,0.03991254,0.0,0.0,0.0,0.25935054"
235,"0.0,0.03643912,0.0,0.034531854,0.0,0.0,0.0,1.1811248"
236,"0.0,0.033836037,0.0,0.035607465,0.0,0.0,0.0,0.81315666"
237,"0.0,0.032867935,0.0,0.03651331,0.0,0.0,0.0,0.6747626"
238,"0.0,0.033064052,0.0,0.036664255,0.0,0.0,0.0,0.69710535"
239,"0.0,0.033475645,0.0,0.036047157,0.0,0.0,0.0,0.73963404"
240,"0.0,0.0321489,0.0,0.037465833,0.0,0.0,0.0,0.5890381"
241,"0.0,0.034424134,0.0,0.035529196,0.0,0.0,0.0,0.89814794"
242,"0.0,0.034870714,0.0,0.03523602,0.0,0.0,0.0,0.9607296"
243,"0.0,0.03243157,0.0,0.03706845,0.0,0.0,0.0,0.60381866"
244,"0.0,0.033631276,0.0,0.03597029,0.0,0.0,0.0,0.763734"
245,"0.0,0.03550229,0.0,0.03488463,0.0,0.0,0.0,1.0358249"
246,"0.0,0.03884263,0.0,0.033674948,0.0,0.0,0.0,1.5364566"
247,"0.0,0.036473725,0.0,0.034590043,0.0,0.0,0.0,1.1649495"
248,"0.0,0.03320586,0.0,0.036478523,0.0,0.0,0.0,0.6973803"
249,"0.0,0.03728113,0.0,0.034200527,0.0,0.0,0.0,1.277318"
250,"0.0,0.032501332,0.0,0.03708264,0.0,0.0,0.0,0.63091123"
251,"0.0,0.032931715,0.0,0.03637422,0.0,0.0,0.0,0.678833"
252,"0.0,0.033879817,0.0,0.03549785,0.0,0.0,0.0,0.8274576"
253,"0.0,0.034348544,0.0,0.035685677,0.0,0.0,0.0,0.8596302"
254,"0.0,0.03322318,0.0,0.03702609,0.0,0.0,0.0,0.73864263"
255,"0.0,0.029831914,0.0,0.039435495,0.0,0.0,0.0,0.30411494"
256,"0.0,0.031614397,0.0,0.037754994,0.0,0.0,0.0,0.5335112"
257,"0.0,0.03520951,0.0,0.035031058,0.0,0.0,0.0,0.9843803"
258,"0.0,0.02996088,0.0,0.039501283,0.0,0.0,0.0,0.32556432"
259,"0.0,0.033316314,0.0,0.03671241,0.0,0.0,0.0,0.7542452"
260,"0.0,0.043012124,0.0,0.03254231,0.0,0.0,0.0,2.0201821"
261,"0.0,0.035739813,0.0,0.034816433,0.0,0.0,0.0,1.0625043"
262,"0.0,0.036228556,0.0,0.034624998,0.0,0.0,0.0,1.1478713"
263,"0.0,0.035357945,0.0,0.03499947,0.0,0.0,0.0,1.0141461"
264,"0.0,0.03406171,0.0,0.0360591,0.0,0.0,0.0,0.8439057"
265,"0.0,0.03709798,0.0,0.03433251,0.0,0.0,0.0,1.2447226"
266,"0.0,0.033431046,0.0,0.03661044,0.0,0.0,0.0,0.77851844"
267,"0.0,0.032823212,0.0,0.036474705,0.0,0.0,0.0,0.65371704"
268,"0.0,0.032911893,0.0,0.03692161,0.0,0.0,0.0,0.7123786"
269,"0.0,0.03324204,0.0,0.036870252,0.0,0.0,0.0,0.72280717"
270,"0.0,0.03355773,0.0,0.036300953,0.0,0.0,0.0,0.79398453"
271,"0.0,0.033086453,0.0,0.03696873,0.0,0.0,0.0,0.72631156"
272,"0.0,0.035365935,0.0,0.035026643,0.0,0.0,0.0,1.0518801"
273,"0.0,0.03203753,0.0,0.03780327,0.0,0.0,0.0,0.59425265"
274,"0.0,0.03182584,0.0,0.03764633,0.0,0.0,0.0,0.54189366"
275,"0.0,0.029485349,0.0,0.039547414,0.0,0.0,0.0,0.2794282"
276,"0.0,0.03171516,0.0,0.037602853,0.0,0.0,0.0,0.5218973"
277,"0.0,0.03313487,0.0,0.036934365,0.0,0.0,0.0,0.72995114"
278,"0.0,0.032549765,0.0,0.036857724,0.0,0.0,0.0,0.6385635"
279,"0.0,0.036659114,0.0,0.034446225,0.0,0.0,0.0,1.2015407"
280,"0.0,0.035709087,0.0,0.03480995,0.0,0.0,0.0,1.0643634"
281,"0.0,0.035004262,0.0,0.035313625,0.0,0.0,0.0,0.9547198"
282,"0.0,0.03389492,0.0,0.036049683,0.0,0.0,0.0,0.831304"
283,"0.0,0.033890195,0.0,0.036159433,0.0,0.0,0.0,0.8299209"
284,"0.0,0.033252925,0.0,0.036297232,0.0,0.0,0.0,0.6984377"
285,"0.0,0.03465999,0.0,0.035489794,0.0,0.0,0.0,0.9074144"
286,"0.0,0.033148896,0.0,0.03626002,0.0,0.0,0.0,0.6897342"
287,"0.0,0.033655822,0.0,0.035992336,0.0,0.0,0.0,0.75910234"
288,"0.0,0.032980133,0.0,0.03618296,0.0,0.0,0.0,0.6873208"
289,"0.0,0.033950854,0.0,0.035655886,0.0,0.0,0.0,0.79308677"
290,"0.0,0.03561922,0.0,0.034777246,0.0,0.0,0.0,1.0578287"
291,"0.0,0.03176671,0.0,0.03802039,0.0,0.0,0.0,0.5343724"
292,"0.0,0.032866623,0.0,0.037502542,0.0,0.0,0.0,0.6813539"
293,"0.0,0.037788495,0.0,0.034223,0.0,0.0,0.0,1.3394401"
294,"0.0,0.03263494,0.0,0.036755238,0.0,0.0,0.0,0.64508563"
295,"0.0,0.03218983,0.0,0.037184604,0.0,0.0,0.0,0.58933353"
296,"0.0,0.039764374,0.0,0.033532023,0.0,0.0,0.0,1.6202397"
297,"0.0,0.03413352,0.0,0.03611807,0.0,0.0,0.0,0.8370316"
298,"0.0,0.033429414,0.0,0.036034364,0.0,0.0,0.0,0.74144256"
299,"0.0,0.03466466,0.0,0.035436153,0.0,0.0,0.0,0.91348815"
300,"0.0,0.036746394,0.0,0.03437814,0.0,0.0,0.0,1.2090024"
301,"0.0,0.032630008,0.0,0.037237156,0.0,0.0,0.0,0.6923302"
302,"0.0,0.034647036,0.0,0.03562552,0.0,0.0,0.0,0.9039513"
303,"0.0,0.032584053,0.0,0.036618523,0.0,0.0,0.0,0.6308772"
304,"0.0,0.033379577,0.0,0.03667309,0.0,0.0,0.0,0.76036614"
305,"0.0,0.03049813,0.0,0.039239112,0.0,0.0,0.0,0.35380745"
306,"0.0,0.03979128,0.0,0.03353444,0.0,0.0,0.0,1.6239792"
307,"0.0,0.037237078,0.0,0.034279432,0.0,0.0,0.0,1.2622811"
308,"0.0,0.036348093,0.0,0.034593455,0.0,0.0,0.0,1.162441"
309,"0.0,0.03553056,0.0,0.034830507,0.0,0.0,0.0,1.0471435"
310,"0.0,0.033553503,0.0,0.036105826,0.0,0.0,0.0,0.7390654"
311,"0.0,0.03373873,0.0,0.036180746,0.0,0.0,0.0,0.79529023"
312,"0.0,0.029923325,0.0,0.03947868,0.0,0.0,0.0,0.32165477"
313,"0.0,0.03268667,0.0,0.036749814,0.0,0.0,0.0,0.67057765"
314,"0.0,0.036635894,0.0,0.034568336,0.0,0.0,0.0,1.2045777"
315,"0.0,0.029816078,0.0,0.03926118,0.0,0.0,0.0,0.2891722"
316,"0.0,0.035163946,0.0,0.035174422,0.0,0.0,0.0,0.96589637"
317,"0.0,0.033177376,0.0,0.03634484,0.0,0.0,0.0,0.7068471"
318,"0.0,0.04320638,0.0,0.03239211,0.0,0.0,0.0,2.0899894"
319,"0.0,0.03870122,0.0,0.033927154,0.0,0.0,0.0,1.4489948"
320,"0.0,0.03335838,0.0,0.036184195,0.0,0.0,0.0,0.7567627"
321,"0.0,0.0354013,0.0,0.03489396,0.0,0.0,0.0,1.0428469"
322,"0.0,0.035685245,0.0,0.034939583,0.0,0.0,0.0,1.0692278"
324,"0.0,0.034901723,0.0,0.035250533,0.0,0.0,0.0,0.9516548"
325,"0.0,0.031474773,0.0,0.037759464,0.0,0.0,0.0,0.5054802"
326,"0.0,0.035972584,0.0,0.034708787,0.0,0.0,0.0,1.1059761"
327,"0.0,0.031634144,0.0,0.037761305,0.0,0.0,0.0,0.5159156"
328,"0.0,0.033801533,0.0,0.035556164,0.0,0.0,0.0,0.77339447"
329,"0.0,0.034425367,0.0,0.035307754,0.0,0.0,0.0,0.88144135"
330,"0.0,0.031995542,0.0,0.037428863,0.0,0.0,0.0,0.554988"
331,"0.0,0.032169454,0.0,0.037982948,0.0,0.0,0.0,0.60510385"
332,"0.0,0.031276055,0.0,0.037819453,0.0,0.0,0.0,0.46050924"
333,"0.0,0.035996966,0.0,0.03483996,0.0,0.0,0.0,1.0899575"
334,"0.0,0.036919545,0.0,0.034522127,0.0,0.0,0.0,1.2220027"
335,"0.0,0.03457602,0.0,0.035310403,0.0,0.0,0.0,0.91224384"
336,"0.0,0.03515487,0.0,0.034974873,0.0,0.0,0.0,0.98647726"
