user_id,user_embedding
75,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644712]"
76,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644713]"
77,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644714]"
78,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644715]"
79,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644716]"
80,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644717]"
81,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644718]"
82,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644719]"
83,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644720]"
84,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644721]"
85,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644722]"
86,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644723]"
87,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644724]"
88,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644725]"
89,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644726]"
90,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644727]"
91,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644728]"
92,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644729]"
93,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644730]"
94,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644731]"
95,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644732]"
96,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644733]"
97,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644734]"
98,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644735]"
99,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644736]"
100,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644737]"
101,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644738]"
102,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644739]"
103,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644740]"
104,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644741]"
105,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644742]"
106,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644743]"
107,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644744]"
108,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644745]"
109,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644746]"
110,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644747]"
111,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644748]"
112,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644749]"
113,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644750]"
114,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644751]"
115,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644752]"
116,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644753]"
117,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644754]"
118,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644755]"
119,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644756]"
120,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644757]"
121,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644758]"
122,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644759]"
123,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644760]"
124,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644761]"
125,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644762]"
126,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644763]"
127,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644764]"
128,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644765]"
129,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644766]"
130,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644767]"
131,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644768]"
132,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644769]"
133,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644770]"
134,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644771]"
135,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644772]"
136,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644773]"
137,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644774]"
138,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644775]"
139,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644776]"
140,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644777]"
141,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644778]"
142,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644779]"
143,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644780]"
144,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644781]"
145,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644782]"
146,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644783]"
147,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644784]"
148,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644785]"
149,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644786]"
150,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644787]"
151,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644788]"
152,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644789]"
153,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644790]"
154,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644791]"
155,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644792]"
156,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644793]"
157,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644794]"
158,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644795]"
159,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644796]"
160,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644797]"
161,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644798]"
162,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644799]"
163,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644800]"
164,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644801]"
165,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644802]"
166,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644803]"
167,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644804]"
168,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644805]"
169,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644806]"
170,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644807]"
171,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644808]"
172,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644809]"
173,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644810]"
174,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644811]"
175,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644812]"
176,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644813]"
177,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644814]"
178,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644815]"
179,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644816]"
180,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644817]"
181,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644818]"
182,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644819]"
183,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644820]"
184,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644821]"
185,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644822]"
186,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644823]"
187,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644824]"
188,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644825]"
189,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644826]"
190,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644827]"
191,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644828]"
192,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644829]"
193,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644830]"
194,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644831]"
195,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644832]"
196,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644833]"
197,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644834]"
198,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644835]"
199,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644836]"
200,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644837]"
201,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644838]"
202,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644839]"
203,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644840]"
204,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644841]"
205,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644842]"
206,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644843]"
207,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644844]"
208,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644845]"
209,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644846]"
210,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644847]"
211,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644848]"
212,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644849]"
213,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644850]"
214,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644851]"
215,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644852]"
216,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644853]"
217,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644854]"
218,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644855]"
219,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644856]"
220,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644857]"
221,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644858]"
222,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644859]"
223,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644860]"
224,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644861]"
225,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644862]"
226,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644863]"
227,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644864]"
228,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644865]"
229,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644866]"
230,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644867]"
231,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644868]"
232,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644869]"
233,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644870]"
234,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644871]"
235,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644872]"
236,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644873]"
237,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644874]"
238,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644875]"
239,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644876]"
240,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644877]"
241,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644878]"
242,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644879]"
243,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644880]"
244,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644881]"
245,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644882]"
246,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644883]"
247,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644884]"
248,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644885]"
249,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644886]"
250,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644887]"
251,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644888]"
252,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644889]"
253,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644890]"
254,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644891]"
255,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644892]"
256,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644893]"
257,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644894]"
258,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644895]"
259,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644896]"
260,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644897]"
261,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644898]"
262,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644899]"
263,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644900]"
264,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644901]"
265,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644902]"
266,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644903]"
267,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644904]"
268,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644905]"
269,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644906]"
270,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644907]"
271,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644908]"
272,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644909]"
273,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644910]"
274,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644911]"
275,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644912]"
276,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644913]"
277,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644914]"
278,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644915]"
279,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644916]"
280,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644917]"
281,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644918]"
282,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644919]"
283,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644920]"
284,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644921]"
285,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644922]"
286,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644923]"
287,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644924]"
288,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644925]"
289,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644926]"
290,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644927]"
291,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644928]"
292,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644929]"
293,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644930]"
294,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644931]"
295,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644932]"
296,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644933]"
297,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644934]"
298,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644935]"
299,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644936]"
300,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644937]"
301,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644938]"
302,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644939]"
303,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644940]"
304,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644941]"
305,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644942]"
306,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644943]"
307,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644944]"
308,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644945]"
309,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644946]"
310,"[0.0,0.0,0.0,0.0,0.0018757228,0.1866774,0.0,1.4644947]"
